Complexity,Loss,Equation
1,0.07391273,"0.43910033"
2,0.062297653,"abs(x0)"
3,0.04968061,"1.0385157 - x3"
4,0.01806051,"log(2.2110648 - x3)"
6,0.017033463,"sqrt((x3 - 1.0769011) * -0.529234)"
7,0.015280262,"(1.3023822 - (x0 * 0.6068617)) - x3"
8,0.011912263,"sqrt((1.035935 - x3) * (x1 - -0.31083024))"
10,0.0117601,"sqrt(((-0.3428225 - x1) * (x3 - 1.072521)) + -0.044357315)"
11,0.011712123,"sqrt(-0.20284478 + sqrt((-0.26775864 - x1) * (x3 - 1.0565311)))"
20,0.011654697,"sqrt(abs(abs(((x3 - 0.6112549) - x1) * abs(((x3 + 0.10923251) - 1.1696255) * abs(-0.5996787 - x3)))))"
