Complexity,Loss,Equation
1,0.06556161,"0.36794704"
2,0.05740945,"abs(x0)"
3,0.046749786,"x0 * 0.79078186"
4,0.017538553,"sqrt(x2 * x0)"
5,0.0168053,"0.6952673 - (x3 * 0.5355918)"
6,0.015307791,"sqrt(0.49307907 - (x3 * 0.47171488))"
7,0.012423903,"((x2 - x1) * x1) - -0.49290106"
10,0.010272077,"0.54398745 / exp(x3 * ((x2 - x1) * -3.5174353))"
11,0.0087645585,"0.8208608 / ((x3 * ((x2 - x1) * -9.89854)) + 1.6628089)"
15,0.00860674,"(sqrt(exp((x2 - x3) * ((x3 * 13.74232) - x1))) / 2.7517092) - -0.13710812"
17,0.008534302,"(sqrt(exp(((x2 - 0.039562486) - x3) * ((x3 * 14.322549) - 0.7321006))) / 2.4894412) - -0.12207232"
18,0.008322615,"(sqrt(exp((x2 - x3) * ((x3 * (13.248761 - log(x0))) - x1))) / 2.7517092) - -0.13710812"
19,0.008308957,"(sqrt(exp((x2 - x3) * ((x3 * (13.248761 - log(sqrt(x0)))) - x1))) / 2.7517092) - -0.13710812"
20,0.008259301,"(sqrt(exp((x2 - x3) * ((((13.248761 - log(x0)) - x1) * x3) - x1))) / 2.7517092) - -0.13710812"
21,0.008236588,"(sqrt(exp((x2 - x3) * (((13.248761 - log(x0)) * x3) - (x1 * exp(x3))))) / 2.7517092) - -0.13710812"
23,0.008215975,"(sqrt(exp((x2 - x3) * ((x3 * ((13.248761 - log(x0)) - x3)) - (x1 * exp(x3))))) / 2.7517092) - -0.13710812"
25,0.00820685,"(sqrt(exp((x2 - abs(x3)) * abs((((13.248761 - log(x0)) - (0.2572316 / sqrt(x0))) * x3) - x1))) / 2.7517092) - -0.13710812"
