Complexity,Loss,Equation
1,0.062297653,"x0"
3,0.049674198,"1.0422729 - x3"
4,0.018060576,"log(2.212573 - x3)"
6,0.016821623,"sqrt(x1 + 0.54963356) - x3"
7,0.0144092105,"sqrt(sqrt(x3) + 0.38629112) - x3"
9,0.012761384,"sqrt(x1 + 1.2229344) - exp(x3 - 0.80867463)"
11,0.012479958,"sqrt(x1 + 0.35776335) + (0.49959314 - exp(x3 - 0.6927509))"
12,0.011985852,"(sqrt(sqrt(x2 + x3)) + 0.3251405) - exp(x3 - 0.81837064)"
13,0.01198522,"(sqrt(sqrt(x2 + x3)) + 0.3251405) - exp(x3 - log(2.2663357))"
14,0.0117882015,"(sqrt(sqrt(x3 + (x2 + x3))) + 0.3345714) - exp(x3 - 0.684809)"
17,0.009718279,"abs((sqrt(exp(x3) - sqrt(abs(x1 + -0.41666734))) - exp(x3 - 0.05667517)) + 0.93603176)"
18,0.009184293,"abs(((1.0052333 + (1.2965666 - sqrt(sqrt(abs(-0.41807452 + x1))))) - exp(x3 - 0.4113662)) * 0.7554001)"
22,0.009108416,"abs((((exp(x3 * 0.490977) - abs(sqrt(sqrt(abs(x1 + -0.4187331))))) + 1.7209227) - exp(x3 - -0.049978267)) * 0.71552634)"
23,0.009108415,"abs((((exp((x3 / 1.3347119) * 0.65531284) - sqrt(sqrt(abs(x1 + -0.4187331)))) - exp(x3 - -0.049978267)) + 1.7209227) * 0.71552634)"
24,0.009108414,"abs(abs((((exp((x3 / 1.3347119) * 0.65531284) - sqrt(sqrt(abs(x1 + -0.4187331)))) + 1.7209227) - exp(x3 - -0.049978267)) * 0.71552634))"
