Complexity,Loss,Equation
1,0.07391267,"0.43927228"
2,0.062297653,"abs(x0)"
3,0.03496528,"x4 * 0.68386835"
4,0.016719645,"exp(x4 - 1.4222524)"
5,0.015382205,"(x4 + x6) * 0.40580565"
6,0.01330464,"(x4 + sqrt(x6)) * 0.37564516"
7,0.010988314,"(x4 * 0.5087764) + (x6 * 0.28792897)"
8,0.009500894,"(x4 + sqrt(x6 * 0.3111919)) * 0.4867397"
10,0.006680386,"(x4 - ((x0 - sqrt(x6)) * 0.51243347)) * 0.6580975"
11,0.006560106,"abs((x4 - ((x0 - sqrt(x6)) * 0.51243347)) * 0.6580975)"
12,0.006533234,"(x4 - (((x0 + -0.06990691) - sqrt(x6)) * 0.48532647)) * 0.63016945"
13,0.0064956904,"abs((x4 - (((-0.06990691 + x0) - sqrt(x6)) * 0.48532647)) * 0.63016945)"
14,0.005475594,"(x4 - ((x0 + (-0.19399498 - sqrt(x6))) * 0.6428106)) / (x3 - -1.5134706)"
15,0.005448234,"abs((x4 - (((x0 + -0.19601268) - sqrt(x6)) * 0.6654576)) / (-1.5375528 - x3))"
16,0.005446434,"abs((x4 - ((x0 + (-0.19882582 - sqrt(x6))) * 0.6654576)) / abs(-1.5375528 - x3))"
17,0.0052636075,"abs((x4 - ((((x0 * 1.3988954) + -0.33908042) - sqrt(x6)) * 0.55203146)) / (x3 - -1.4011458))"
