Complexity,Loss,Equation
1,0.056693256,"0.5111249"
2,0.04448894,"abs(x0)"
3,0.0333393,"x4 * 0.75127137"
4,0.009285832,"exp(x4 - 1.319017)"
5,0.008251398,"sqrt(x4 / exp(x0))"
6,0.007467101,"(sqrt(x6) + x4) * 0.39611363"
8,0.0053889696,"sqrt((x6 + x1) * (x4 / 1.7933114))"
9,0.004535364,"((x6 + x1) - (x4 * -3.3329885)) / 5.8892865"
11,0.00440455,"(x6 - (sqrt(x4) * -3.4973807)) / (4.9703383 - log(x2))"
12,0.004185491,"sqrt((exp((sqrt(x6) + x1) - 0.7076035) * x4) / 2.731287)"
13,0.004053838,"sqrt(((x6 + exp(x1 - 0.7735461)) * x4) / (2.7552397 - x1))"
