Complexity,Loss,Equation
1,0.0462341,"0.42322898"
2,0.036897447,"abs(x0)"
3,0.016835371,"x4 * 0.64255244"
4,0.004889812,"sqrt(x4 / 2.4951477)"
5,0.00469313,"(x4 + 0.38103285) * 0.45212722"
6,0.0040049083,"sqrt(x4 / (x0 + 1.8474559))"
7,0.0024553502,"sqrt((x4 * sqrt(x6)) / 1.8922348)"
8,0.0018640831,"sqrt(x4 * (sqrt(x6) / exp(x0)))"
9,0.001464133,"sqrt((x4 * sqrt(x6)) / (x0 + 1.2598705))"
11,0.0012975407,"sqrt(x4 * (sqrt(x6 - -0.06919742) / (x0 + 1.3981341)))"
12,0.0012031506,"sqrt((x4 * sqrt(x6)) / (sqrt(x6 + 0.88050514) + x0))"
13,0.0011312647,"sqrt((x4 * sqrt(x6)) / (sqrt(x0) + sqrt(x5 + x6)))"
14,0.0009910061,"sqrt((x4 * sqrt(x6)) / (x0 + sqrt(sqrt(x5) + sqrt(x6))))"
15,0.0009298811,"sqrt((x4 * (sqrt(x6) / (x0 + sqrt(sqrt(x5) + x6)))) / 1.0625753)"
