Complexity,Loss,Equation
1,0.04685979,"0.4313346"
2,0.04240943,"abs(x0)"
3,0.020227348,"x4 * 0.6495712"
4,0.0068301964,"sqrt(x4 * 0.41117722)"
5,0.0062015154,"(x2 + x4) * 0.40712562"
6,0.005077662,"(x4 + sqrt(x2)) * 0.35865894"
7,0.0036371285,"sqrt(x4 * sqrt(x6 / 3.3707328))"
8,0.0015981063,"sqrt(x4 * (x6 + x2)) * 0.6011146"
9,0.00159805,"(sqrt(x2 + x6) * sqrt(x4)) * 0.6009631"
10,0.0007320026,"sqrt(x6 + x2) * ((x4 + 0.47075444) * 0.40088567)"
12,0.00058307673,"(sqrt(x2) + sqrt(x6)) * (sqrt(x4 - -0.064323306) * 0.40975052)"
14,0.00049323007,"(sqrt(x4 - -0.06566589) * ((sqrt(x6) / 1.2656935) + sqrt(x2))) * 0.45972076"
