Complexity,Loss,Equation
1,0.046319783,"x0"
2,0.028429866,"sqrt(x4)"
4,0.006688088,"exp(x4 - 1.2306587)"
5,0.006676356,"(-0.051308226 / x4) + 0.84112793"
8,0.0056112185,"sqrt(x4 / exp(x0 / exp(x6)))"
9,0.0052326503,"sqrt(x4 / exp(x0 / (x6 + 0.87561464)))"
10,0.004466652,"sqrt(x4 / exp(1.0650429 / exp(x6 / x0)))"
11,0.003815876,"(x4 - -0.3610755) / sqrt(exp(sqrt(sqrt(x0 / x6))))"
13,0.0033300119,"(x4 - -0.37093127) / exp(sqrt(0.5012426 / sqrt(exp(x6 / x0))))"
14,0.0032417534,"(x4 - -0.40415806) / sqrt(exp(1.8519272 / sqrt(exp(sqrt(x6 / x0)))))"
