Complexity,Loss,Equation
1,0.049960468,"0.45384878"
2,0.03353082,"abs(x0)"
3,0.019835282,"x4 * 0.6835947"
4,0.004764127,"abs(x4 - 0.33731514)"
6,0.0047530155,"abs(0.33901802 - x4) + 0.004816287"
7,0.0045690467,"sqrt(exp(x1 - 1.1777989) * x4)"
8,0.0035731273,"(x6 * 0.09733136) + sqrt(x4 * 0.367063)"
9,0.0030403535,"sqrt(x4 * exp((x6 * x1) - 1.04408))"
11,0.0030375316,"sqrt(x4 * (exp((x6 * x1) - 1.055674) + 0.007971843))"
12,0.0030323847,"abs(sqrt(exp((x6 * (x1 + 0.018946787)) - 1.055674) * x4))"
13,0.0028746098,"sqrt(exp(((x6 * x1) - 1.055674) + (0.009473394 / x1)) * x4)"
15,0.002744142,"sqrt((((x6 / x1) * 0.009473394) + exp((x6 * x1) - 1.055674)) * x4)"
