Complexity,Loss,Equation
1,0.036117353,"x0"
3,0.02987986,"1.1026584 - x1"
4,0.004468142,"exp(x4 + -1.308116)"
5,0.0043397816,"(x4 + 0.57741565) * 0.46193224"
6,0.004272874,"(x4 + sqrt(x6)) * 0.39951304"
7,0.0037621583,"(sqrt(sqrt(x6)) + x4) * 0.37659016"
8,0.0023740383,"sqrt(x4 * 0.38682252) + (x6 * 0.1693004)"
9,0.0022346827,"(sqrt(sqrt(x6 * 0.20694445)) + x4) * 0.46193224"
11,0.0022288908,"((sqrt(sqrt(x6 * 0.20694445)) + x4) * 0.46193224) + -0.003944225"
12,0.0019611896,"(x4 + sqrt(sqrt(sqrt(x2) * (x6 * 0.42644283)))) * 0.44212124"
13,0.0017919109,"(sqrt(sqrt(x6 * (x2 - -0.38091624)) * 0.6130074) + x4) * 0.43827775"
14,0.0017796769,"(sqrt(sqrt(x6 * (x2 - -0.38091624)) * abs(0.60131663)) + x4) * 0.43827775"
