Complexity,Loss,Equation
1,0.03921721,"x0"
2,0.038775798,"sqrt(x4)"
3,0.023061426,"x4 / 1.2993098"
4,0.0065290607,"sqrt(x4) * 0.7581336"
5,0.0063238847,"(x4 - -0.37607726) * 0.5449044"
6,0.0037918082,"sqrt(x4 / (2.4065106 - x6))"
8,0.0035896634,"sqrt(x4 / exp(1.3365097 - sqrt(x6)))"
9,0.0030255017,"sqrt(x4 / sqrt(exp(sqrt(x0 / x6))))"
10,0.0027165227,"sqrt(x4 / ((2.134879 - x6) / sqrt(sqrt(x2))))"
12,0.0024808452,"(x4 / sqrt(exp(sqrt((1.4470034 - x6) / x2)))) + 0.21424438"
13,0.0020870774,"sqrt(x4 / sqrt(exp((1.6759063 - x6) / sqrt(x2)))) + 0.05671917"
