Complexity,Loss,Equation
1,5.792853,"x0"
3,2.7654474,"x4 * 0.7051002"
4,1.1774361,"log(x4) - -4.4809294"
5,1.1051553,"(x4 * 0.5196585) + 1.8161548"
6,0.6879628,"sqrt(x6) - (x4 * -0.47443742)"
7,0.6680178,"sqrt(x6) - (exp(x4) * -0.00021487984)"
8,0.5879081,"sqrt(x6) - ((x4 * -0.520885) - -0.4602711)"
9,0.3001112,"sqrt((x6 + (x2 + x2)) * sqrt(x4))"
10,0.27484712,"(sqrt(x6) - (-0.696617 * x4)) - (x0 * 0.34373787)"
11,0.2530434,"abs((sqrt(x6) - (-0.696617 * x4)) - (x0 * 0.34373787))"
13,0.23885088,"(sqrt(x6) - (x4 * -0.6999557)) - abs((x0 * 0.38264367) - 0.24883196)"
14,0.2232398,"abs((sqrt(x6) - (x4 * -0.6999557)) - abs((x0 * 0.38264367) - 0.24883196))"
15,0.22289687,"abs((sqrt(x6) - (x4 * -0.6966665)) - abs(abs((x0 * 0.38155693) - 0.24800631)))"
