Complexity,Loss,Equation
1,7.0669994,"x4"
2,6.6822104,"abs(x0)"
3,3.0007284,"x4 * 0.7156372"
4,1.623032,"log(x4) - -4.469235"
5,1.4943739,"(x4 + 3.204853) * 0.539085"
6,1.1230671,"(sqrt(x6) + x4) / 1.6823422"
7,0.9525388,"abs(log(x6) + (x4 * 0.5677317))"
9,0.6098576,"abs(log((x2 * (x4 * x6)) * 5.8430467))"
10,0.35569635,"log(((x6 * x2) * x4) + 2.0686052) * 1.3369766"
12,0.29062927,"log(((x6 * (x2 + -1.5766788)) * x4) + 2.7559075) * 1.4532859"
14,0.2445169,"log((((x6 + 0.22619049) * x4) * (x2 + -1.3285086)) + 2.5038266) * 1.420612"
15,0.24003774,"abs(log((x4 * ((x2 + -1.8330637) * (x6 + 0.38899398))) + 2.5368004) * 1.4673017)"
