Complexity,Loss,Equation
1,4.1110835,"x0"
3,2.5195398,"x4 * 0.7212942"
4,1.1272162,"log(x4) + 4.512258"
5,0.8448524,"8.556365 - (x3 * 0.6746365)"
6,0.6485569,"(x4 + sqrt(x6)) * 0.5941286"
7,0.5636565,"abs(log(x6) + (x4 * 0.5755253))"
8,0.5221221,"log(x6 + 0.9385366) + (x4 * 0.5415663)"
9,0.42110968,"((x6 * 0.19514744) + 7.5298166) - (x3 * 0.68174726)"
10,0.4078443,"((x4 - -3.396803) * 0.0936349) * (sqrt(x6) + 3.4464731)"
11,0.26313952,"(x4 * 0.42991623) + ((x6 / (x3 + 2.0306754)) + 1.2717202)"
12,0.20175244,"((x6 / (log(x0) + x3)) + (x4 * 0.44262555)) + 1.1925215"
15,0.128549,"((x4 * 0.40374237) + ((x6 / (x3 + 1.9603268)) + (x2 * 0.16265178))) - -0.68566895"
