Complexity,Loss,Equation
1,3.77748,"x4"
3,2.1878235,"x4 * 0.8213771"
4,0.3623207,"abs(x4 + -1.9527974)"
5,0.3396257,"(x4 + 3.1180294) * 0.6234339"
6,0.2687948,"(sqrt(x1) + x4) * 0.7089157"
8,0.23156013,"(x4 * 0.6188901) + log(x6 - -2.2690747)"
9,0.15077512,"abs((log(x6) + x4) * 0.64137876) - -0.883161"
10,0.13658598,"abs((x4 * 0.63986945) + log(sqrt(x6))) + 1.0830474"
12,0.1365445,"abs(((x4 * 0.6424138) - -0.07804078) + log(sqrt(x6))) + 0.9954865"
14,0.1340461,"abs((x4 * 0.6424138) + log(sqrt(x6 - (x0 * 0.0029835766)))) + 1.0678416"
