Complexity,Loss,Equation
1,745.4756,"235.2654"
3,34.625668,"x1 / 2.861242"
4,34.31561,"sqrt(x2 * x3)"
5,19.731077,"(x1 * 0.30603284) - -29.70053"
7,15.601312,"((x1 * -0.037676416) + 202.25446) / x0"
8,9.698806,"sqrt((x3 + 23.693966) * (x2 - 35.281128))"
10,8.630159,"sqrt((x3 + 36.75525) * (x2 - 18.544188)) + -14.972548"
14,0.46189037,"(sqrt((x2 + (x3 + x3)) * (x2 + x3)) * 0.40696415) - -0.55006236"
16,0.43928865,"(sqrt(x3 + ((x2 + (x3 + x3)) * (x2 + x3))) * 0.40696415) - -0.55006236"
18,0.4245664,"(0.40696415 * sqrt((x3 + ((x2 + (x3 + x3)) * (x2 + x3))) + x3)) - -0.55006236"
19,0.059045393,"(((((x1 - -3.0808861) + (x3 / -0.7108197)) - (x2 * 0.59991354)) / (x1 / x0)) * x1) / x0"
