Complexity,Loss,Equation
1,5.3298025,"x0"
3,2.575951,"x4 * 0.6693455"
4,1.3694334,"abs(x4 + -2.6567466)"
5,0.9211529,"(x4 - -3.7220168) * 0.48980922"
6,0.9198707,"abs(x4 + -2.6544652) + -0.6664875"
7,0.70318437,"0.23431167 * ((x4 / 0.4499749) + x6)"
8,0.581487,"abs(log((x4 * x6) * 15.974804))"
9,0.5304831,"log(((x6 + 1.039214) * x4) * 12.301079)"
10,0.44201735,"abs(log((x4 * x6) * (x2 - -11.1215)))"
11,0.22192104,"log((x4 * (x6 * x2)) - -2.7021937) * 1.2465237"
13,0.20404704,"log(((((x6 + 0.26615444) * x4) * x2) * 3.1340702) - -2.335014)"
15,0.1823179,"log(((x2 * (x6 * ((x4 + x1) * x4))) + 10.392203) * 0.30180827)"
17,0.1498834,"log((((x4 + x1) * ((x6 + 0.21701957) * (x2 * x4))) + x3) * 0.28326333)"
19,0.14754225,"log(((((x4 + x1) + -0.8894763) * (((x6 + 0.23977847) * x2) * x4)) + x3) * 0.28326333)"
21,0.14020139,"log(((x4 * x6) * (x2 * log(((x4 / x7) * (x4 * x1)) - -7.8174434))) - -3.1675324)"
23,0.12300751,"log((log((x1 * ((x4 * (x5 + x2)) / x7)) - -7.2792745) * (x2 * (x6 * x4))) - -3.2079265)"
