Complexity,Loss,Equation
1,4.5901136,"x0"
2,4.312792,"sqrt(x4)"
3,1.5084664,"x4 * 0.5683026"
4,0.7531469,"sqrt(x2 * x0)"
5,0.51035136,"(-3.3423011 - x4) * -0.4230818"
7,0.21440561,"sqrt((x6 + x2) * sqrt(x4))"
9,0.17584062,"sqrt(sqrt(x6 + x2) * (0.60989225 + x4))"
10,0.13450062,"sqrt(sqrt(sqrt(x2 * x6) * x4) * 4.710294)"
11,0.121902704,"sqrt(((x2 / 5.903424) + sqrt(x6)) * (x4 + 0.65235656))"
13,0.108358204,"sqrt(((x2 * 0.21458836) + sqrt(x6 * 0.7274735)) * (x4 + 0.7192464))"
15,0.10813283,"sqrt(((x2 / 4.676404) + sqrt(x6 * 0.7274735)) * (x4 + 0.7192464)) * 1.0035019"
17,0.10811978,"sqrt((sqrt(x6 * 0.7274735) + (x2 / 4.676404)) * (((x4 * 1.0035019) + 0.7192464) * 1.0070161))"
19,0.10811976,"sqrt(((sqrt(x6 * 0.7274735) + (x2 / 4.676404)) * (((x4 * 1.0035019) + 0.7192464) * 1.0035019)) * 1.0035019)"
