Complexity,Loss,Equation
1,7.2441955,"4.450073"
2,6.1058044,"abs(x0)"
3,3.4886672,"x4 * 0.685606"
4,1.7635192,"abs(x4 + -2.6445413)"
5,1.5142894,"(x4 - -4.2784777) * 0.4777857"
6,0.97945166,"sqrt(x6) + (x4 / 2.1645384)"
7,0.81505877,"(x4 / sqrt(x0)) + sqrt(x6)"
10,0.6660622,"log((x4 * (x6 * (x2 / 0.23516572))) + x0)"
11,0.648494,"abs(log((x4 * ((x6 * x2) / 0.23516572)) + x0))"
12,0.6292239,"log(x0 + ((x2 * x4) * ((x6 / 0.23839626) - -0.87585807)))"
14,0.55369514,"log(x6 + (((x4 * x6) * (x4 * (x2 - 2.1777036))) + 2.093458))"
15,0.521852,"log(abs((x6 * x4) * ((x2 + x4) * (3.5501301 - x2))) + 3.5501301)"
17,0.47287726,"log(x6 + abs((((x4 * x6) * (x2 + x4)) * (x2 - 3.594022)) + 1.7040603))"
19,0.44928506,"log(abs(x6 + (1.8597021 + ((x4 * ((x6 + 0.09065728) * (x2 + x4))) * (x2 - 3.7067964)))))"
22,0.4271369,"log(abs((abs(x6) + (x4 * (((x6 + 0.1998691) * (x2 + x4)) * (x2 - 3.5847166)))) + 2.3437219) - 0.8610085)"
